Country Name,Especies Aves Ameacadas (2017),Especies Peixes Ameacadas (2017),Especies Mamiferos Ameacadas (2017),% Acesso eletricidade (2006),% Acesso eletricidade (2016),Consumo eletricidade kWh per capita (2006),Consumo eletricidade kWh per capita (2014),PIB (US$) (1990),PIB (US$) (2000),PIB (US$) (2005),PIB (US$) (2016),Mortalidade infantil por mil (1990),Mortalidade infantil por mil (2000),Mortalidade infantil por mil (2005),Mortalidade infantil por mil (2016)
Malta,5.0,22.0,2.0,100.0,100.0,4897.51004174603,4924.54401944044,2547163582.33149,4306192435.82207,6394851386.64345,11279535398.2301,11.2,7.7,6.9,6.8
Marshall Islands,4.0,18.0,2.0,77.2698287963867,93.1380462646484,,,78476000.0,110937700.0,137928600.0,194497900.0,50.6,40.7,39.8,35.4
Mauritania,17.0,44.0,18.0,26.910898208618196,41.652107238769496,,,1019600770.6033901,1293654175.2102,2184445123.17519,4739298311.39235,116.5,113.1,109.4,81.4
Mauritius,11.0,20.0,7.0,98.74002075195308,98.7817840576172,1743.11748174224,2182.5091559114103,2653480001.34558,4582555124.64952,6283803256.01264,12232463655.5727,23.0,18.5,15.7,13.7
Mexico,66.0,181.0,93.0,99.11416,100.0,1974.4691135657001,2090.17594363621,262709948090.735,707906744574.644,877476221382.101,1076912039691.17,45.7,26.8,20.6,14.6
"Micronesia, Fed. Sts.",12.0,26.0,5.0,56.9892425537109,75.435173034668,,,147200000.0,233226300.0,250149400.0,329895600.0,54.6,52.7,46.6,33.3
Moldova,11.0,8.0,5.0,99.40963745117192,100.0,2166.12197503688,1386.2344389560599,,1288429150.51394,2988338439.3155303,6795741776.1672,33.0,31.1,19.6,15.9
Monaco,0.0,15.0,3.0,100.0,100.0,,,2481316053.8531604,2647883820.18625,4280072625.97622,,7.7,5.2,4.5,3.4
Mongolia,24.0,2.0,11.0,76.3044891357422,81.775032043457,1299.055672921,2017.5136188154397,2560785660.0,1136896123.6129801,2523471532.01083,11183458130.8083,108.5,63.4,41.4,17.9
Montenegro,13.0,32.0,6.0,99.4833221435547,100.0,6451.77025324174,4612.34139045689,,984297589.359934,2257174480.7859697,4374130530.97345,16.6,14.1,10.6,3.8
Morocco,17.0,55.0,18.0,96.5,100.0,686.733045785939,901.1284488451311,30180108561.9305,38857251336.3448,62343022650.8742,103606321692.58199,79.6,49.8,40.5,27.1
Mozambique,30.0,67.0,17.0,12.890141487121598,24.198339462280302,449.055185754351,462.620288073275,2512079324.07706,5016469068.50898,7723846194.874459,11014862241.7342,247.7,175.6,133.5,71.3
Myanmar,52.0,53.0,49.0,48.5791625976563,57.0093841552734,89.1568959511796,216.777608552408,,8905066163.58643,11986972418.5103,63225097051.255,115.5,90.0,77.8,50.8
Namibia,31.0,33.0,15.0,41.3559417724609,51.78242492675779,1540.56896466177,1584.5688218264802,2804379662.1961102,3908661517.6229897,7261333794.60003,11309232187.533998,71.3,74.6,71.0,45.2
Nauru,2.0,11.0,1.0,99.4095611572266,99.2028045654297,,,,,,102060129.577055,58.4,41.3,38.8,34.6
Nepal,36.0,7.0,29.0,51.2,90.7,84.23083829382941,139.143680626098,3627562402.66027,5494252207.905021,8130258041.467059,21131983246.1855,140.9,81.7,61.5,34.5
Netherlands,10.0,15.0,3.0,100.0,100.0,7025.83447881547,6712.774758245,314267667675.178,412807259996.315,678533764457.157,777227541581.307,8.3,6.2,5.4,3.8
New Zealand,69.0,35.0,9.0,100.0,100.0,9700.09080915739,9026.32104131095,45519034243.71,52622842840.2055,114718721396.888,189285950470.754,11.2,7.4,6.6,5.4
Nicaragua,15.0,38.0,7.0,75.82373046875,81.7967987060547,429.70813423553705,580.479172171187,1009455483.8709699,5107329007.0922,6321335612.22233,13184989877.5664,67.5,40.4,31.4,19.7
Niger,12.0,4.0,13.0,9.3,16.2172336578369,34.8852085583535,51.4408154617409,2480673304.7430897,1798374468.3636198,3405134831.8504896,7606749314.04047,328.9,226.5,172.3,91.3
Nigeria,20.0,72.0,32.0,48.274776458740206,59.3,111.693028039711,144.479924464909,30757075595.3681,46386011231.37,112248353104.911,404652720164.89795,212.9,187.4,157.9,104.3
Norway,11.0,23.0,8.0,100.0,100.0,24099.9322630596,22999.9345951283,119791683307.50699,171315639982.731,308722079937.912,371075238095.238,8.7,4.9,4.0,2.6
Oman,13.0,36.0,11.0,,100.0,4209.07389921219,6553.519695525671,11685045513.6541,19507412223.6671,31081924577.3732,66824447334.2003,39.2,16.6,12.8,10.7
Pakistan,32.0,45.0,26.0,83.8504943847656,99.1474380493164,486.791369546511,471.041568895674,40010424928.715,73952374969.7995,109502102510.88301,278654637737.69,138.8,112.8,101.6,78.8
Palau,5.0,22.0,4.0,98.3739242553711,99.2893524169922,,,,144769900.0,184683500.0,302699800.0,36.1,26.8,22.8,15.9
Panama,23.0,55.0,17.0,85.1516647338867,93.4178009033203,1477.9305434556697,2062.76354474632,6433967000.0,12304115000.0,16374393900.0,57820916600.0,31.0,26.0,22.8,16.4
Papua New Guinea,39.0,60.0,40.0,12.4,22.932153701782198,,,3219730364.99623,3521339699.0740705,4865892972.27595,19904808311.6227,88.0,77.2,73.1,54.3
Paraguay,27.0,0.0,10.0,96.749045,98.4,920.8206437891099,1563.50532858488,5695201563.42495,8195993230.74275,8734653809.49561,27424071373.0501,46.6,33.6,28.5,19.9
Peru,120.0,51.0,50.0,80.157275,94.85174560546879,887.622529762492,1307.51096571589,26410386669.3609,51744749133.213,76060606060.606,191639655121.33,80.4,38.5,27.0,15.3
Philippines,93.0,93.0,39.0,79.6630020141602,90.9816131591797,568.2533897644851,699.205069808172,44311593755.7845,81026300310.5641,103071582125.241,304889079564.681,58.1,39.7,35.8,27.1
Poland,11.0,8.0,5.0,100.0,100.0,3584.9621880678496,3971.79976131055,65977749036.9844,171885598582.637,306125173852.573,471400273917.01294,17.4,9.3,7.5,4.7
Portugal,15.0,64.0,13.0,100.0,100.0,4827.46718204254,4662.60079980294,78721607509.4923,118358489957.619,197304513120.25897,205184480409.024,14.7,7.2,4.7,3.5
Puerto Rico,9.0,31.0,2.0,100.0,100.0,,,30603919000.0,61701800000.0,83914521300.0,105034500000.0,,,,
Qatar,9.0,16.0,4.0,100.0,100.0,15702.9717473193,15309.4293804084,7360439423.0769205,17759890109.8901,44530494505.4945,152451923076.923,20.8,12.5,10.4,8.5
Romania,17.0,22.0,9.0,100.0,100.0,2446.28607665653,2584.41178726443,38995454545.4545,37438527799.5302,99697566667.8107,187805922349.23102,31.3,22.0,17.9,9.0
Russian Federation,57.0,39.0,34.0,100.0,100.0,6098.538123103771,6602.65752529282,516814274021.956,259708496267.33,764017107992.3921,1284727602173.71,21.6,19.4,13.9,7.7
Rwanda,19.0,7.0,24.0,10.285608291626,29.37,,,2550185618.14774,1734938652.21165,2581313485.6852303,8475681532.52169,150.6,194.7,114.6,38.5
Samoa,6.0,16.0,2.0,96.3717297274598,100.0,,,125766269.75535801,269019710.327456,462649043.044658,786356314.80277,31.0,21.9,19.5,17.3
San Marino,0.0,0.0,0.0,100.0,100.0,,,,1101897917.81832,1958711603.03445,1590707964.60177,10.9,5.5,4.2,2.8
Sao Tome and Principe,13.0,25.0,5.0,56.5005874633789,65.4404830932617,,,,,125146438.67676,354238109.300304,104.8,83.2,61.5,33.8
Saudi Arabia,17.0,38.0,11.0,100.0,100.0,6820.48771393922,9444.21566403336,117630271802.40302,189514926213.333,328459608764.111,644935541446.453,44.7,22.1,18.2,12.9
Senegal,17.0,56.0,19.0,49.9,64.5,157.137426803682,223.496163338778,5716644272.046921,4679604753.55711,8707015771.00113,14683747153.664,140.4,134.2,95.5,47.1
Serbia,13.0,15.0,6.0,99.6238250732422,100.0,4040.4400201900603,4271.7446669105,,6540247190.33529,26252007830.4639,38299854688.1277,28.2,12.7,8.9,5.8
Seychelles,12.0,23.0,6.0,99.0,100.0,,,368584758.94245696,614879764.7800059,919103254.5454551,1425929444.32924,16.7,13.8,14.1,14.3
Sierra Leone,14.0,57.0,22.0,12.910337448120101,20.3,,,649644826.800447,635874002.198748,1650494367.00326,3556036534.5713396,262.1,233.9,203.5,113.5
Singapore,18.0,29.0,14.0,100.0,100.0,8720.02208405801,8844.68759301201,36152027893.1446,95833932714.6172,127417688055.756,309763879840.753,7.7,3.9,3.0,2.8
Slovak Republic,12.0,5.0,4.0,100.0,100.0,5153.12148361062,5137.07383519398,12694544692.7374,29114875621.8905,62697540106.9519,89768598023.3903,14.7,9.8,8.2,5.9
Slovenia,10.0,33.0,6.0,100.0,100.0,7123.5377712933805,6727.99930164211,,20342201356.0052,36346974008.2079,44708598648.8562,10.4,5.5,4.2,2.3
